Contract_code,contract_type,City,town,building_type,Region,application,area,percent,price,price_per_mm,age,Skeleton_type,time,Postal_code
19189720,Contr_letter,Qom,Qom,apartment,3,Residential,145,20,15950000,22000,0,concrete,1399/04/22,371997
19190241,Contr_letter,Qom,Qom,apartment,,Residential,62,100,1500000,24193.55,9,metallic,1399/04/23,371133
19190365,Contr_letter,Qom,Qom,apartment,,Residential,62.71,100,3150000,50231.22,14,concrete,1399/04/23,371168
19191024,Contr_letter,Qom,Qom,apartment,8,Residential,102.13,100,5750000,56300.79,8,metallic,1399/04/23,374916
19191589,Contr_letter,Qom,Qom,apartment,,Residential,61.47,100,5200000,84594.11,13,metallic_&_concrete,1399/04/23,371313
19191693,Contr_letter,Qom,Qom,apartment,8,Residential,130,100,8100000,62307.69,5,metallic_&_concrete,1399/04/23,374914
19191988,Contr_letter,Qom,Qom,apartment,8,Residential,64,100,3530000,55156.25,8,concrete,1399/04/23,371135
19192349,Contr_letter,Qom,Qom,apartment,2,Residential,112.6,100,10100000,89698.05,3,concrete,1399/04/23,371396
19192573,Contr_letter,Qom,Qom,apartment,8,Residential,63.63,100,3500000,55005.5,3,concrete,1399/04/23,371137
19193152,Contr_letter,Qom,Qom,apartment,8,Residential,80,100,3885000,48562.5,10,metallic_&_concrete,1399/04/23,371133
19193708,Contr_letter,Qom,Qom,apartment,8,Residential,78.43,100,4008000,51102.89,10,concrete,1399/04/23,374917
19195082,Contr_letter,Qom,Qom,apartment,,Residential,79,100,3550000,44936.71,5,concrete,1399/04/23,371133
19195240,Contr_letter,Qom,Qom,apartment,,Residential,100,100,3150000,31500,0,concrete,1399/04/23,371485
19196253,Contr_letter,Qom,Qom,apartment,,Residential,111,100,8800000,79279.28,0,metallic,1399/04/23,371798
19196637,Contr_letter,Qom,Qom,apartment,,Residential,95,100,9650000,101578.95,0,concrete,1399/04/23,371313
19196790,Contr_letter,Qom,Qom,apartment,,Residential,111.63,100,15500000,138851.56,3,concrete,1399/04/23,371614
19197013,Contr_letter,Qom,Qom,apartment,,Residential,61.22,100,4000000,65338.12,6,concrete,1399/04/23,371484
